Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g2_n80	0.122	0.09	0.16
r_g2_n81	0.104	0.08	0.13
r_g2_n82	0.126	0.1	0.15
r_g2_n83	0.122	0.1	0.15
r_g2_n84	0.128	0.1	0.16
r_g2_n85	0.122	0.1	0.14
r_g2_n86	0.105	0.08	0.13
r_g2_n87	0.109	0.09	0.13
r_g2_n88	0.099	0.08	0.12
r_g2_n89	0.056	0.05	0.06
r_g2_n90	0.025	0.02	0.03
r_g2_n91	0.071	0.06	0.09
r_g2_n92	0.066	0.05	0.08
r_g2_n93	0.107	0.09	0.13
r_g2_n94	0.12	0.1	0.14
r_g2_n95	0.106	0.09	0.13
r_g2_n96	0.104	0.08	0.12
r_g2_n97	0.085	0.08	0.1
r_g2_n98	0.061	0.05	0.07
r_g2_n99	0.122	0.1	0.15
r_g2_n100	0.118	0.1	0.14
r_g2_n101	0.126	0.1	0.15
r_g2_n102	0.158	0.14	0.18
r_g2_n103	0.135	0.11	0.16
r_g2_n104	0.123	0.1	0.15
r_g2_n105	0.178	0.15	0.21
r_g2_n106	0.113	0.09	0.14
r_g2_n107	0.134	0.11	0.16
r_g2_n108	0.127	0.11	0.14
r_g2_n109	0.117	0.1	0.14
r_g2_n110	0.131	0.11	0.16
r_g2_n111	0.129	0.1	0.16
r_g2_n112	0.125	0.1	0.16
r_g2_n113	0.137	0.11	0.17
r_g2_n114	0.161	0.13	0.2
r_g2_n115	0.162	0.12	0.2
r_g2_n116	0.159	0.12	0.2
r_g2_n117	0.175	0.14	0.22
r_g2_n118	0.181	0.13	0.23
r_g2_n119	0.178	0.13	0.23
r_g2_n120	0.175	0.12	0.23
r_g2_n121	0.111	0.09	0.13
r_g2_n122	0.09	0.07	0.11
r_g2_n123	0.063	0.05	0.08
r_g2_n124	0.097	0.08	0.12
r_g2_n125	0.081	0.07	0.09
r_g2_n126	0.054	0.05	0.06
r_g2_n127	0.052	0.04	0.06
r_g2_n128	0.052	0.04	0.06
r_g2_n129	0.056	0.05	0.07
r_g2_n130	0.047	0.04	0.05
r_g2_n131	0.033	0.03	0.04
r_g2_n132	0.027	0.02	0.03
r_g2_n133	0.025	0.02	0.03
r_g2_n134	0.025	0.02	0.03
r_g2_n135	0.024	0.02	0.03
r_g2_n136	0.018	0.02	0.02
r_g2_n137	0.035	0.03	0.04
r_g2_n138	0.031	0.03	0.04
r_g2_n139	0.037	0.03	0.05
r_g2_n140	0.032	0.03	0.04
r_g2_n141	0.029	0.02	0.03
r_g2_n142	0.028	0.02	0.03
r_g2_n143	0.025	0.02	0.03
r_g3_n1	0.044	0.01	0.08
r_g3_n2	0.044	0.04	0.06
r_g3_n3	0.047	0.04	0.06
r_g3_n4	0.057	0.05	0.07
r_g3_n5	0.042	0.04	0.05
r_g3_n6	0.051	0.05	0.06
r_g3_n7	0.079	0.08	0.08
r_g3_n8	0.054	0.05	0.06
r_g3_n9	0.037	0.03	0.04
r_g3_n10	0.091	0.09	0.1
r_g3_n11	0.082	0.08	0.09
r_g3_n12	0.039	0.04	0.04
r_g3_n13	0.061	0.06	0.06
r_g3_n14	0.009	0.01	0.01
r_g3_n15	0.021	0.02	0.03
r_g3_n16	0.008	0.01	0.01
r_g3_n17	0.031	0.03	0.03
r_g3_n18	0.037	0.03	0.04
r_g3_n19	0.03	0.03	0.03
r_g3_n20	0.032	0.03	0.03
r_g3_n21	0.04	0.04	0.04
r_g3_n22	0.036	0.03	0.04
r_g3_n23	0.034	0.03	0.04
r_g3_n24	0.031	0.02	0.04
r_g3_n25	0.055	0.04	0.07
r_g3_n26	0.028	0.02	0.03
r_g3_n27	0.049	0.05	0.05
r_g3_n28	0.047	0.04	0.05
r_g3_n29	0.075	0.07	0.08
r_g3_n30	0.039	0.04	0.04
r_g3_n31	0.051	0.05	0.06
r_g3_n32	0.043	0.04	0.05
r_g3_n33	0.011	0.01	0.01
r_g3_n34	0.057	0.05	0.07
r_g3_n35	0.039	0.04	0.04
r_g3_n36	0.065	0.06	0.07
r_g3_n37	0.076	0.07	0.08
r_g3_n38	0.077	0.07	0.08
r_g3_n39	0.063	0.06	0.07
r_g3_n40	0.106	0.08	0.13
r_g3_n41	0.076	0.06	0.09
r_g3_n42	0.08	0.06	0.1
r_g3_n43	0.097	0.08	0.12
r_g3_n44	0.108	0.08	0.14
r_g3_n45	0.101	0.07	0.13
r_g3_n46	0.103	0.07	0.14
r_g3_n47	0.116	0.08	0.15
