Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g3_n28	0.046	0.04	0.05
r_g3_n29	0.074	0.07	0.08
r_g3_n30	0.038	0.04	0.04
r_g3_n31	0.058	0.05	0.07
r_g3_n32	0.049	0.04	0.06
r_g3_n33	0.025	0.02	0.03
r_g3_n34	0.124	0.09	0.16
r_g3_n35	0.046	0.04	0.05
r_g3_n36	0.076	0.07	0.09
r_g3_n37	0.075	0.07	0.08
r_g3_n38	0.073	0.07	0.08
r_g3_n39	0.056	0.05	0.06
r_g3_n40	0.071	0.06	0.08
r_g3_n41	0.051	0.04	0.06
r_g3_n42	0.053	0.05	0.06
r_g3_n43	0.064	0.06	0.07
r_g3_n44	0.059	0.05	0.07
r_g3_n45	0.05	0.04	0.06
r_g3_n46	0.049	0.04	0.06
r_g3_n47	0.056	0.04	0.07
r_g3_n48	0.08	0.07	0.09
r_g3_n49	0.052	0.04	0.06
r_g3_n50	0.031	0.02	0.04
r_g3_n51	0.041	0.03	0.05
r_g3_n52	0.045	0.04	0.05
r_g3_n53	0.044	0.03	0.05
r_g3_n54	0.049	0.04	0.06
r_g3_n55	0.047	0.04	0.06
r_g3_n56	0.041	0.03	0.05
r_g3_n57	0.04	0.03	0.05
r_g3_n58	0.039	0.03	0.05
r_g3_n59	0.057	0.05	0.07
r_g3_n60	0.046	0.04	0.06
r_g3_n61	0.051	0.04	0.06
r_g3_n62	0.062	0.05	0.08
r_g3_n63	0.03	0.02	0.04
r_g3_n64	0.05	0.04	0.06
r_g3_n65	0.036	0.03	0.05
r_g3_n66	0.069	0.05	0.09
r_g3_n67	0.039	0.03	0.04
r_g3_n68	0.035	0.03	0.04
r_g3_n69	0.028	0.03	0.03
r_g3_n70	0.04	0.03	0.05
r_g3_n71	0.054	0.04	0.07
r_g3_n72	0.023	0.02	0.03
r_g3_n74	0.053	0.02	0.1
r_g3_n75	0.043	0.04	0.05
r_g3_n76	0.047	0.03	0.07
r_g3_n77	0.078	0.07	0.09
r_g3_n78	0.049	0.03	0.07
r_g3_n79	0.045	0.03	0.07
r_g3_n80	0.053	0.04	0.07
r_g3_n81	0.048	0.03	0.07
r_g3_n82	0.049	0.03	0.07
r_g3_n83	0.044	0.03	0.06
r_g3_n84	0.069	0.05	0.09
r_g3_n85	0.042	0.03	0.06
r_g3_n86	0.048	0.04	0.07
r_g3_n87	0.047	0.03	0.07
r_g3_n88	0.035	0.03	0.04
r_g3_n89	0.028	0.03	0.03
r_g3_n90	0.051	0.04	0.07
r_g3_n91	0.047	0.03	0.07
r_g3_n92	0.04	0.03	0.06
r_g3_n93	0.047	0.03	0.07
r_g3_n94	0.073	0.06	0.09
r_g3_n95	0.055	0.04	0.08
r_g3_n96	0.063	0.05	0.09
r_g3_n97	0.048	0.04	0.05
r_g3_n98	0.041	0.03	0.05
r_g3_n99	0.053	0.04	0.07
r_g3_n100	0.055	0.04	0.08
r_g3_n101	0.061	0.04	0.08
r_g3_n102	0.082	0.07	0.1
r_g3_n103	0.058	0.04	0.08
r_g3_n104	0.053	0.04	0.07
r_g3_n105	0.095	0.08	0.11
r_g3_n106	0.051	0.04	0.07
r_g3_n107	0.059	0.04	0.08
r_g3_n108	0.072	0.06	0.08
r_g3_n109	0.054	0.04	0.08
r_g3_n110	0.078	0.06	0.1
r_g3_n111	0.095	0.07	0.12
r_g3_n112	0.09	0.07	0.12
r_g3_n113	0.124	0.1	0.16
r_g3_n114	0.067	0.05	0.09
r_g3_n115	0.057	0.04	0.08
r_g3_n116	0.048	0.03	0.07
r_g3_n117	0.065	0.05	0.08
r_g3_n118	0.088	0.07	0.11
r_g3_n119	0.062	0.05	0.08
r_g3_n120	0.056	0.04	0.08
r_g3_n121	0.031	0.02	0.04
r_g3_n122	0.034	0.02	0.05
r_g3_n123	0.033	0.02	0.05
r_g3_n124	0.043	0.03	0.06
r_g3_n125	0.036	0.03	0.04
r_g3_n126	0.035	0.03	0.04
r_g3_n127	0.046	0.03	0.07
r_g3_n128	0.046	0.03	0.07
r_g3_n129	0.035	0.03	0.05
r_g3_n130	0.02	0.02	0.02
r_g3_n131	0.039	0.03	0.06
r_g3_n132	0.039	0.03	0.06
r_g3_n133	0.047	0.03	0.07
r_g3_n134	0.045	0.03	0.06
r_g3_n135	0.036	0.03	0.05
r_g3_n136	0.044	0.03	0.06
r_g3_n137	0.049	0.04	0.07
r_g3_n138	0.052	0.04	0.07
r_g3_n139	0.016	0.01	0.02
r_g3_n140	0.042	0.03	0.06
r_g3_n141	0.031	0.02	0.04
r_g3_n142	0.045	0.03	0.06
r_g3_n143	0.017	0.02	0.02
r_g4_n1	0.031	0.02	0.04
r_g4_n2	0.023	0.02	0.03
r_g4_n3	0.027	0.02	0.03
r_g4_n4	0.038	0.03	0.05
r_g4_n5	0.025	0.02	0.03
r_g4_n6	0.03	0.03	0.03
r_g4_n7	0.042	0.04	0.04
r_g4_n8	0.028	0.02	0.03
r_g4_n9	0.022	0.02	0.02
r_g4_n10	0.043	0.04	0.05
r_g4_n11	0.041	0.04	0.04
r_g4_n12	0.02	0.02	0.02
