Mean_rate	Mean_q2.5%	Mean_q97.5%
r_g3_n45	0.051	0	0.22
r_g3_n46	0.051	0	0.22
r_g3_n47	0.051	0	0.22
r_g3_n48	0.051	0	0.22
r_g3_n49	0.051	0	0.22
r_g3_n50	0.051	0	0.22
r_g3_n51	0.051	0	0.22
r_g3_n52	0.051	0	0.22
r_g3_n53	0.051	0	0.22
r_g3_n54	0.051	0	0.22
r_g3_n55	0.051	0	0.22
r_g3_n56	0.051	0	0.22
r_g3_n57	0.051	0	0.22
r_g3_n58	0.051	0	0.22
r_g3_n59	0.051	0	0.22
r_g3_n60	0.051	0	0.22
r_g3_n61	0.051	0	0.22
r_g3_n62	0.051	0	0.22
r_g3_n63	0.051	0	0.22
r_g3_n64	0.051	0	0.22
r_g3_n65	0.051	0	0.22
r_g3_n66	0.051	0	0.22
r_g3_n67	0.051	0	0.22
r_g3_n68	0.051	0	0.22
r_g3_n69	0.051	0	0.22
r_g3_n70	0.051	0	0.22
r_g3_n71	0.051	0	0.22
r_g3_n72	0.051	0	0.22
r_g3_n74	0.051	0	0.22
r_g3_n75	0.051	0	0.22
r_g3_n76	0.051	0	0.22
r_g3_n77	0.051	0	0.22
r_g3_n78	0.051	0	0.22
r_g3_n79	0.051	0	0.22
r_g3_n80	0.051	0	0.22
r_g3_n81	0.051	0	0.22
r_g3_n82	0.051	0	0.22
r_g3_n83	0.051	0	0.22
r_g3_n84	0.051	0	0.22
r_g3_n85	0.051	0	0.22
r_g3_n86	0.051	0	0.22
r_g3_n87	0.051	0	0.22
r_g3_n88	0.051	0	0.22
r_g3_n89	0.051	0	0.22
r_g3_n90	0.051	0	0.22
r_g3_n91	0.051	0	0.22
r_g3_n92	0.051	0	0.22
r_g3_n93	0.051	0	0.22
r_g3_n94	0.051	0	0.22
r_g3_n95	0.051	0	0.22
r_g3_n96	0.051	0	0.22
r_g3_n97	0.051	0	0.22
r_g3_n98	0.051	0	0.22
r_g3_n99	0.051	0	0.22
r_g3_n100	0.051	0	0.22
r_g3_n101	0.051	0	0.22
r_g3_n102	0.051	0	0.22
r_g3_n103	0.051	0	0.22
r_g3_n104	0.051	0	0.23
r_g3_n105	0.051	0	0.22
r_g3_n106	0.051	0	0.22
r_g3_n107	0.051	0	0.22
r_g3_n108	0.051	0	0.22
r_g3_n109	0.051	0	0.22
r_g3_n110	0.051	0	0.22
r_g3_n111	0.051	0	0.22
r_g3_n112	0.051	0	0.22
r_g3_n113	0.051	0	0.22
r_g3_n114	0.051	0	0.22
r_g3_n115	0.051	0	0.22
r_g3_n116	0.051	0	0.22
r_g3_n117	0.051	0	0.22
r_g3_n118	0.051	0	0.22
r_g3_n119	0.051	0	0.23
r_g3_n120	0.051	0	0.22
r_g3_n121	0.051	0	0.22
r_g3_n122	0.051	0	0.22
r_g3_n123	0.051	0	0.22
r_g3_n124	0.051	0	0.22
r_g3_n125	0.051	0	0.22
r_g3_n126	0.051	0	0.22
r_g3_n127	0.051	0	0.22
r_g3_n128	0.051	0	0.22
r_g3_n129	0.051	0	0.22
r_g3_n130	0.051	0	0.22
r_g3_n131	0.051	0	0.22
r_g3_n132	0.051	0	0.22
r_g3_n133	0.051	0	0.22
r_g3_n134	0.051	0	0.22
r_g3_n135	0.051	0	0.22
r_g3_n136	0.051	0	0.22
r_g3_n137	0.051	0	0.22
r_g3_n138	0.051	0	0.22
r_g3_n139	0.051	0	0.22
r_g3_n140	0.051	0	0.22
r_g3_n141	0.051	0	0.22
r_g3_n142	0.051	0	0.22
r_g3_n143	0.051	0	0.22
r_g4_n1	0.048	0	0.21
r_g4_n2	0.048	0	0.21
r_g4_n3	0.048	0	0.22
r_g4_n4	0.048	0	0.21
r_g4_n5	0.048	0	0.21
r_g4_n6	0.048	0	0.21
r_g4_n7	0.048	0	0.22
r_g4_n8	0.048	0	0.22
r_g4_n9	0.048	0	0.21
r_g4_n10	0.048	0	0.22
r_g4_n11	0.048	0	0.22
r_g4_n12	0.048	0	0.22
r_g4_n13	0.048	0	0.21
r_g4_n14	0.048	0	0.22
r_g4_n15	0.048	0	0.21
r_g4_n16	0.048	0	0.21
r_g4_n17	0.048	0	0.22
r_g4_n18	0.048	0	0.22
r_g4_n19	0.048	0	0.21
r_g4_n20	0.048	0	0.21
r_g4_n21	0.048	0	0.22
r_g4_n22	0.048	0	0.22
r_g4_n23	0.048	0	0.21
r_g4_n24	0.048	0	0.22
r_g4_n25	0.048	0	0.21
r_g4_n26	0.048	0	0.21
r_g4_n27	0.048	0	0.21
r_g4_n28	0.048	0	0.21
r_g4_n29	0.048	0	0.21
r_g4_n30	0.048	0	0.22
r_g4_n31	0.048	0	0.22
r_g4_n32	0.048	0	0.21
r_g4_n33	0.048	0	0.22
r_g4_n34	0.048	0	0.21
r_g4_n35	0.048	0	0.22
